AGI,Description,table.logConc,table.logFC,table.PValue,table.FDR,found in ATH1,Kozuka_2010_leaf_blade,Kozuka_2010_petiole
AT3G03820,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT3G03840.1); Has 1097 Blast hits to 1091 proteins in 28 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1096; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).,16.76,1.93,3.42953E-09,1.22577E-06,,#N/A,#N/A
AT4G16515,"Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).root meristem growth factor 6 (RGF6); FUNCTIONS IN: molecular_function unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 10 growth stages; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",16.20,1.92,2.7999E-11,1.51725E-08,245336_at,3.464,2.823
AT5G11190,"encodes a member of the ERF (ethylene response factor) subfamily B-6 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 12 members in this subfamily including RAP2.11.shine3 (SHN3); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription, DNA-dependent; LOCATED IN: mitochondrion, nucleus; EXPRESSED IN: anther dehiscence zone, fruit dehiscence zone; CONTAINS InterPro DOMAIN/s: DNA-binding, integrase-type (InterPro:IPR016177), Pathogenesis-related transcriptional factor/ERF, DNA-binding (InterPro:IPR001471); BEST Arabidopsis thaliana protein match is: Integrase-type DNA-binding superfamily protein (TAIR:AT5G25390.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",17.37,1.91,2.64668E-07,6.53828E-05,,#N/A,#N/A
AT3G05890,RARE-COLD-INDUCIBLE 2B (RCI2B); CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0057 (InterPro:IPR000612); BEST Arabidopsis thaliana protein match is: Low temperature and salt responsive protein family (TAIR:AT3G05880.1); Has 1391 Blast hits to 1391 proteins in 471 species: Archae - 0; Bacteria - 653; Metazoa - 37; Fungi - 280; Plants - 382; Viruses - 0; Other Eukaryotes - 39 (source: NCBI BLink).,17.06,1.88,5.19451E-08,1.50448E-05,258751_at,#N/A,#N/A
AT3G50340,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G67020.1); Has 128 Blast hits to 128 proteins in 39 species: Archae - 0; Bacteria - 46; Metazoa - 0; Fungi - 3; Plants - 76; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).,15.30,1.86,2.37E-13,1.76829E-10,252204_at,2.486,6.422
AT5G57770,"CONTAINS InterPro DOMAIN/s: Pleckstrin-like, plant (InterPro:IPR013666), Protein of unknown function DUF828 (InterPro:IPR008546); BEST Arabidopsis thaliana protein match is: Plant protein of unknown function (DUF828) with plant pleckstrin homology-like region (TAIR:AT3G22810.1); Has 171 Blast hits to 171 proteins in 15 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 169; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",16.76,1.86,8.63596E-09,2.93073E-06,247879_at,#N/A,#N/A
AT3G50350,"Protein of unknown function (DUF1685); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: LP.04 four leaves visible, 4 anthesis, C globular stage, 4 leaf senescence stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1685 (InterPro:IPR012881); BEST Arabidopsis thaliana protein match is: Protein of unknown function (DUF1685) (TAIR:AT4G33985.1); Has 199 Blast hits to 199 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 199; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",16.94,1.84,3.1834E-08,9.46483E-06,252205_at,#N/A,#N/A
AT5G07000,"Encodes a member of the sulfotransferase family of proteins. Although it has 85% amino acid identity with ST2A (At5g07010), this protein is not able to transfer a sulfate group to 11- or 12-hydroxyjasmonic acid in vitro. It may be able to act on structurally related jasmonates.sulfotransferase 2B (ST2B); CONTAINS InterPro DOMAIN/s: Sulfotransferase domain (InterPro:IPR000863); BEST Arabidopsis thaliana protein match is: sulfotransferase 2A (TAIR:AT5G07010.1); Has 2767 Blast hits to 2724 proteins in 192 species: Archae - 0; Bacteria - 213; Metazoa - 1685; Fungi - 1; Plants - 536; Viruses - 0; Other Eukaryotes - 332 (source: NCBI BLink).",15.87,1.82,3.7197E-11,1.98365E-08,250657_at,6.768,3.061
AT1G70940,"A regulator of auxin efflux and involved in differential growth. PIN3 is expressed in gravity-sensing tissues, with PIN3 protein accumulating predominantly at the lateral cell surface. PIN3 localizes to the plasma membrane and to vesicles. In roots, PIN3 is expressed without pronounced polarity in tiers two and three of the columella cells, at the basal side of vascular cells, and to the lateral side of pericycle cells of the elongation zone. PIN3 overexpression inhibits root cell growth. Protein phosphorylation plays a role in PIN3 trafficking to  the plasma membrane.PIN-FORMED 3 (PIN3); FUNCTIONS IN: auxin:hydrogen symporter activity, transporter activity; INVOLVED IN: in 8 processes; LOCATED IN: lateral plasma membrane, plasma membrane, vesicle membrane, cell surface; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Auxin efflux carrier, subgroup (InterPro:IPR014024), Auxin efflux carrier (InterPro:IPR004776); BEST Arabidopsis thaliana protein match is: Auxin efflux carrier family protein (TAIR:AT1G23080.1); Has 1983 Blast hits to 1757 proteins in 550 species: Archae - 37; Bacteria - 1198; Metazoa - 14; Fungi - 0; Plants - 487; Viruses - 0; Other Eukaryotes - 247 (source: NCBI BLink).",13.09,1.82,0,2.5E-14,262263_at,2.811,#N/A
AT4G14130,"xyloglucan endotransglycosylase-related protein (XTR7)xyloglucan endotransglucosylase/hydrolase 15 (XTH15); FUNCTIONS IN: hydrolase activity, acting on glycosyl bonds, xyloglucan:xyloglucosyl transferase activity, hydrolase activity, hydrolyzing O-glycosyl compounds; INVOLVED IN: N-terminal protein myristoylation, carbohydrate metabolic process, cellular glucan metabolic process; LOCATED IN: endomembrane system, apoplast, cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Xyloglucan endotransglucosylase/hydrolase (InterPro:IPR016455), Xyloglucan endo-transglycosylase, C-terminal (InterPro:IPR010713), Concanavalin A-like lectin/glucanase, subgroup (InterPro:IPR013320), Concanavalin A-like lectin/glucanase (InterPro:IPR008985), Glycoside hydrolase, family 16 (InterPro:IPR000757), Glycoside hydrolase, family 16, active site (InterPro:IPR008263); BEST Arabidopsis thaliana protein match is: xyloglucan endotransglucosylase/hydrolase 16 (TAIR:AT3G23730.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",16.37,1.79,2.55681E-09,9.33706E-07,245325_at,#N/A,#N/A
AT5G04190,"Encodes phytochrome kinase substrate 4, a phytochrome signaling component involved in phototropism.phytochrome kinase substrate 4 (PKS4); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",17.44,1.78,3.28716E-06,0.000642085,245696_at,#N/A,8.313
AT5G39850,"Ribosomal protein S4; FUNCTIONS IN: structural constituent of ribosome; INVOLVED IN: translation; LOCATED IN: cytosolic small ribosomal subunit, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein S4 (InterPro:IPR001912), Ribosomal protein S4, conserved site (InterPro:IPR018079), Ribosomal protein S4/S9, eukaryotic/archaeal (InterPro:IPR005710), RNA-binding S4 (InterPro:IPR002942); BEST Arabidopsis thaliana protein match is: Ribosomal protein S4 (TAIR:AT5G15200.1); Has 6814 Blast hits to 6810 proteins in 3349 species: Archae - 264; Bacteria - 730; Metazoa - 422; Fungi - 285; Plants - 4172; Viruses - 0; Other Eukaryotes - 941 (source: NCBI BLink).",17.40,1.75,1.42395E-06,0.000302466,249427_at,#N/A,#N/A
AT1G78970,"Lupeol synthase. Converts oxidosqualene to multiple triterpene alcohols and a triterpene diols. This conversion proceeds through the formation of a 17&#946;-dammarenyl cation.lupeol synthase 1 (LUP1); CONTAINS InterPro DOMAIN/s: Terpene synthase, conserved site (InterPro:IPR002365), Terpenoid cylases/protein prenyltransferase alpha-alpha toroid (InterPro:IPR008930), Squalene cyclase (InterPro:IPR018333), Prenyltransferase/squalene oxidase (InterPro:IPR001330); BEST Arabidopsis thaliana protein match is: lupeol synthase 2 (TAIR:AT1G78960.1); Has 2106 Blast hits to 1984 proteins in 578 species: Archae - 2; Bacteria - 957; Metazoa - 82; Fungi - 241; Plants - 614; Viruses - 0; Other Eukaryotes - 210 (source: NCBI BLink).",16.85,1.74,1.72873E-07,4.53751E-05,264100_at,#N/A,#N/A
AT4G02380,"Encodes AtLEA5 (late embryogenesis abundant like protein).  Also known as SENESCENCE-ASSOCIATED GENE 21 (SAG21).  Has a role on oxidative stress tolerance. mRNA levels are elevated in response to various stresses.senescence-associated gene 21 (SAG21); CONTAINS InterPro DOMAIN/s: Late embryogenesis abundant protein, group 3 (InterPro:IPR004926); BEST Arabidopsis thaliana protein match is: Late embryogenesis abundant 3 (LEA3) family protein (TAIR:AT1G02820.1); Has 181 Blast hits to 176 proteins in 36 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 181; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",17.19,1.73,1.05465E-06,0.000234657,255479_at,#N/A,#N/A
AT5G54585,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,15.97,1.73,5.40354E-10,2.1358E-07,,#N/A,#N/A
AT2G30040,"member of MEKK subfamilymitogen-activated protein kinase kinase kinase 14 (MAPKKK14); FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: mitogen-activated protein kinase kinase kinase 13 (TAIR:AT1G07150.2); Has 109483 Blast hits to 108488 proteins in 3028 species: Archae - 134; Bacteria - 12042; Metazoa - 41245; Fungi - 11323; Plants - 26137; Viruses - 476; Other Eukaryotes - 18126 (source: NCBI BLink).",17.42,1.71,3.28716E-06,0.000642085,266832_at,#N/A,11.73
AT5G65610,unknown protein; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).,16.68,1.71,5.62629E-08,1.61561E-05,247146_at,#N/A,#N/A
AT1G04240,"SHY2/IAA3 regulates multiple auxin responses in roots. It is induced rapidly by IAA, and has been shown to be phosphorylated by oat phytochrome A in vitro.SHORT HYPOCOTYL 2 (SHY2); FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: response to auxin stimulus, response to cyclopentenone, response to brassinosteroid stimulus; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Aux/IAA-ARF-dimerisation (InterPro:IPR011525), AUX/IAA protein (InterPro:IPR003311); BEST Arabidopsis thaliana protein match is: AUX/IAA transcriptional regulator family protein (TAIR:AT5G43700.1); Has 1823 Blast hits to 1821 proteins in 83 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1822; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).",14.41,1.70,1.68E-13,1.28488E-10,263656_at,#N/A,3.05
AT3G55240,"Overexpression leads to PEL (Pseudo-Etiolation in Light) phenotype.FUNCTIONS IN: molecular_function unknown; INVOLVED IN: developmental process; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Conserved hypothetical protein CHP01589, plant (InterPro:IPR006476); BEST Arabidopsis thaliana protein match is: Plant protein 1589 of unknown function (TAIR:AT3G28990.1); Has 220 Blast hits to 220 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 215; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink).",15.21,1.65,4.2072E-11,2.1097E-08,,#N/A,#N/A
AT2G40610,"member of Alpha-Expansin Gene Family. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio).  Involved in the formation of nematode-induced syncytia in roots of Arabidopsis thaliana.expansin A8 (EXPA8); INVOLVED IN: plant-type cell wall modification involved in multidimensional cell growth, syncytium formation, unidimensional cell growth, plant-type cell wall loosening; LOCATED IN: endomembrane system, extracellular region; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 10 growth stages; CONTAINS InterPro DOMAIN/s: Pollen allergen, N-terminal (InterPro:IPR014734), Rare lipoprotein A (InterPro:IPR005132), Pollen allergen/expansin, C-terminal (InterPro:IPR007117), Barwin-related endoglucanase (InterPro:IPR009009), Expansin (InterPro:IPR002963), Expansin/Lol pI (InterPro:IPR007118), Expansin 45, endoglucanase-like (InterPro:IPR007112); BEST Arabidopsis thaliana protein match is: expansin A2 (TAIR:AT5G05290.1); Has 2297 Blast hits to 2294 proteins in 186 species: Archae - 0; Bacteria - 19; Metazoa - 0; Fungi - 45; Plants - 2187; Viruses - 0; Other Eukaryotes - 46 (source: NCBI BLink).",13.97,1.62,3.14E-13,2.24452E-10,255822_at,0.324,#N/A
AT5G50335,unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,17.05,1.61,3.1915E-06,0.000634466,248509_at,#N/A,#N/A
AT4G38400,"member of EXPANSIN-LIKE. Naming convention from the Expansin Working Group (Kende et al, 2004. Plant Mol Bio)expansin-like A2 (EXLA2); INVOLVED IN: response to cyclopentenone, plant-type cell wall organization, unidimensional cell growth, plant-type cell wall loosening; LOCATED IN: endomembrane system, extracellular region; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Barwin-related endoglucanase (InterPro:IPR009009), Pollen allergen, N-terminal (InterPro:IPR014734), Rare lipoprotein A (InterPro:IPR005132), Major pollen allergen Lol pI (InterPro:IPR005795), Expansin/Lol pI (InterPro:IPR007118), Expansin 45, endoglucanase-like (InterPro:IPR007112), Pollen allergen/expansin, C-terminal (InterPro:IPR007117); BEST Arabidopsis thaliana protein match is: expansin-like A1 (TAIR:AT3G45970.1); Has 1877 Blast hits to 1874 proteins in 122 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1869; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).",16.39,1.59,1.1947E-07,3.21106E-05,252997_at,#N/A,2.7
AT5G06930,LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 7 growth stages; BEST Arabidopsis thaliana protein match is: nucleolar protein gar2-related (TAIR:AT2G42320.2); Has 3369 Blast hits to 1526 proteins in 313 species: Archae - 2; Bacteria - 910; Metazoa - 754; Fungi - 336; Plants - 137; Viruses - 11; Other Eukaryotes - 1219 (source: NCBI BLink).,16.66,1.55,6.66953E-07,0.000153477,250653_at,#N/A,2.445
AT4G28240,Wound-responsive family protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function wound-induced (InterPro:IPR022251); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).,15.30,1.52,1.57659E-09,5.95153E-07,253812_at,3.558,#N/A
AT2G30930,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, plasma membrane, membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G06540.1); Has 194 Blast hits to 176 proteins in 78 species: Archae - 0; Bacteria - 101; Metazoa - 15; Fungi - 25; Plants - 12; Viruses - 4; Other Eukaryotes - 37 (source: NCBI BLink).",15.91,1.50,4.57028E-08,1.3352E-05,267209_at,#N/A,#N/A
AT3G19380,"plant U-box 25 (PUB25); FUNCTIONS IN: ubiquitin-protein ligase activity, binding; INVOLVED IN: response to chitin; LOCATED IN: ubiquitin ligase complex; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: U box domain (InterPro:IPR003613), Armadillo-like helical (InterPro:IPR011989), Armadillo-type fold (InterPro:IPR016024); BEST Arabidopsis thaliana protein match is: plant U-box 26 (TAIR:AT1G49780.1); Has 2521 Blast hits to 2449 proteins in 133 species: Archae - 0; Bacteria - 22; Metazoa - 177; Fungi - 24; Plants - 2091; Viruses - 3; Other Eukaryotes - 204 (source: NCBI BLink).",16.28,1.48,4.18161E-07,9.96379E-05,258021_at,#N/A,1.745
AT5G25460,"Protein of unknown function, DUF642; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to karrikin; LOCATED IN: plant-type cell wall; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF642 (InterPro:IPR006946); BEST Arabidopsis thaliana protein match is: Protein of unknown function, DUF642 (TAIR:AT5G11420.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).",11.77,1.48,4.7E-13,3.29114E-10,246919_at,1.168,#N/A
AT1G21060,"Protein of unknown function, DUF547; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 16 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF547 (InterPro:IPR006869); BEST Arabidopsis thaliana protein match is: Protein of unknown function, DUF547 (TAIR:AT1G76620.1); Has 536 Blast hits to 524 proteins in 67 species: Archae - 0; Bacteria - 34; Metazoa - 26; Fungi - 3; Plants - 441; Viruses - 0; Other Eukaryotes - 32 (source: NCBI BLink).",15.19,1.48,2.04528E-09,7.55111E-07,261451_at,2.47,3.525
AT1G29430,SAUR-like auxin-responsive protein family ; CONTAINS InterPro DOMAIN/s: Auxin responsive SAUR protein (InterPro:IPR003676); BEST Arabidopsis thaliana protein match is: SAUR-like auxin-responsive protein family  (TAIR:AT5G27780.1); Has 636 Blast hits to 622 proteins in 19 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 636; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,16.58,1.39,4.28462E-06,0.000813279,,#N/A,2.998
AT5G15160,"BNQ2 belongs to a family of  atypical non-DNA binding basic helix-loop-helix (bHLH) proteins that heterodimerize with and negatively regulate bHLH  transcription factors. Directly and negatively regulated by AP3 and PI in petals.Required for appropriate regulation of flowering time.BANQUO 2 (BNQ2); FUNCTIONS IN: DNA binding, sequence-specific DNA binding transcription factor activity; INVOLVED IN: photomorphogenesis, regulation of timing of transition from vegetative to reproductive phase; LOCATED IN: vacuole; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Helix-loop-helix DNA-binding domain (InterPro:IPR001092); BEST Arabidopsis thaliana protein match is: basic helix-loop-helix (bHLH) DNA-binding family protein (TAIR:AT3G28857.1); Has 97 Blast hits to 97 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 97; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",16.43,1.39,5.02045E-06,0.000927714,250155_at,#N/A,#N/A
AT1G02660,"alpha/beta-Hydrolases superfamily protein; FUNCTIONS IN: triglyceride lipase activity; INVOLVED IN: lipid metabolic process; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Lipase, class 3 (InterPro:IPR002921); BEST Arabidopsis thaliana protein match is: alpha/beta-Hydrolases superfamily protein (TAIR:AT3G62590.1); Has 747 Blast hits to 737 proteins in 148 species: Archae - 0; Bacteria - 27; Metazoa - 209; Fungi - 146; Plants - 175; Viruses - 15; Other Eukaryotes - 175 (source: NCBI BLink).",16.44,1.38,5.02045E-06,0.000927714,260915_at,#N/A,4.833
AT1G04310,"encodes an ethylene receptor related to bacterial two-component histidine kinases.ethylene response sensor 2 (ERS2); FUNCTIONS IN: ethylene binding, protein histidine kinase activity, receptor activity, glycogen synthase kinase 3 activity; INVOLVED IN: negative regulation of ethylene mediated signaling pathway; LOCATED IN: endomembrane system, membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 9 growth stages; CONTAINS InterPro DOMAIN/s: Signal transduction histidine kinase, subgroup 1, dimerisation/phosphoacceptor domain (InterPro:IPR003661), GAF (InterPro:IPR003018); BEST Arabidopsis thaliana protein match is: Signal transduction histidine kinase, hybrid-type, ethylene sensor (TAIR:AT3G23150.1); Has 9957 Blast hits to 9833 proteins in 1310 species: Archae - 33; Bacteria - 8177; Metazoa - 2; Fungi - 375; Plants - 1006; Viruses - 0; Other Eukaryotes - 364 (source: NCBI BLink).",16.28,1.38,2.42469E-06,0.000496721,263653_at,#N/A,#N/A
AT3G61460,"Encodes a novel ring finger protein and forms an N-terminal hydrophobic domain and a C-terminal RING-H2 signature. Expression is down regulated by brassinolide.brassinosteroid-responsive RING-H2 (BRH1); FUNCTIONS IN: zinc ion binding; INVOLVED IN: response to brassinosteroid stimulus, response to chitin; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, RING-type (InterPro:IPR001841), Zinc finger, C3HC4 RING-type (InterPro:IPR018957); BEST Arabidopsis thaliana protein match is: RING/U-box superfamily protein (TAIR:AT1G63840.1); Has 6755 Blast hits to 6739 proteins in 268 species: Archae - 0; Bacteria - 0; Metazoa - 1714; Fungi - 535; Plants - 3593; Viruses - 29; Other Eukaryotes - 884 (source: NCBI BLink).",14.37,1.36,1.92987E-09,7.20421E-07,251321_at,#N/A,#N/A
AT1G29395,"Integral membrane protein in the inner  envelope of chloroplasts. Provide  freezing tolerance. Expression is induced by short-term cold-treatment, water deprivation, and abscisic acid treatment.COLD REGULATED 314 INNER MEMBRANE 1 (COR413IM1); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: cold acclimation, cellular response to water deprivation, cellular response to cold, response to abscisic acid stimulus; LOCATED IN: integral to chloroplast inner membrane, chloroplast thylakoid membrane, chloroplast, chloroplast envelope; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Cold acclimation WCOR413 (InterPro:IPR008892); BEST Arabidopsis thaliana protein match is: cold regulated 314 thylakoid membrane 2 (TAIR:AT1G29390.1); Has 150 Blast hits to 147 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 150; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",15.08,1.33,4.13273E-08,1.21796E-05,259789_at,#N/A,#N/A
AT3G05640,"Protein phosphatase 2C family protein; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: response to water deprivation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045); BEST Arabidopsis thaliana protein match is: Protein phosphatase 2C family protein (TAIR:AT5G27930.2); Has 5684 Blast hits to 5679 proteins in 292 species: Archae - 2; Bacteria - 4; Metazoa - 1387; Fungi - 671; Plants - 2430; Viruses - 5; Other Eukaryotes - 1185 (source: NCBI BLink).",15.45,1.28,4.90068E-07,0.000115949,258901_at,#N/A,#N/A
AT5G48900,"Pectin lyase-like superfamily protein; FUNCTIONS IN: lyase activity, pectate lyase activity; LOCATED IN: endomembrane system; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Pectin lyase fold/virulence factor (InterPro:IPR011050), AmbAllergen (InterPro:IPR018082), Pectate lyase/Amb allergen (InterPro:IPR002022), Pectin lyase fold (InterPro:IPR012334), Parallel beta-helix repeat (InterPro:IPR006626); BEST Arabidopsis thaliana protein match is: Pectin lyase-like superfamily protein (TAIR:AT3G07010.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",14.29,1.28,1.56356E-08,5.05104E-06,248681_at,1.837,#N/A
AT1G74670,Gibberellin-regulated family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: in 6 processes; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Gibberellin regulated protein (InterPro:IPR003854); BEST Arabidopsis thaliana protein match is: GAST1 protein homolog 4 (TAIR:AT5G15230.1); Has 479 Blast hits to 479 proteins in 44 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 479; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,13.73,1.27,4.95095E-09,1.73268E-06,260221_at,#N/A,#N/A
